"transaction_id","timestamp","store_id","product_id","quantity","unit_price","total_amount","payment_method"
686955,"2026-06-18 12:57:28",2,3053,21,84.55,1775.55,"mobile_pay"
933200,"2026-06-18 12:57:28",15,5737,37,243.4,9005.8,"debit_card"
728579,"2026-06-18 12:57:28",18,3632,11,18.08,198.88,"credit_card"
203663,"2026-06-18 12:57:28",12,7266,10,237.22,2372.2,"cash"
800294,"2026-06-18 12:57:28",17,6481,49,71.14,3485.86,"cash"
181220,"2026-06-18 12:57:28",10,1050,42,232.73,9774.66,"cash"
901216,"2026-06-18 12:57:28",18,9596,39,174.82,6817.98,"credit_card"
536456,"2026-06-18 12:57:28",2,8931,23,70.7,1626.1,"debit_card"
642378,"2026-06-18 12:57:28",5,5142,2,211.75,423.5,"credit_card"
425613,"2026-06-18 12:57:28",17,6793,25,274.38,6859.5,"debit_card"
196388,"2026-06-18 12:57:28",10,4591,45,276.79,12455.55,"cash"
381812,"2026-06-18 12:57:28",13,2450,44,222.06,9770.64,"cash"
853056,"2026-06-18 12:57:28",13,9337,38,155.43,5906.34,"mobile_pay"
751940,"2026-06-18 12:57:28",8,4697,35,273.42,9569.7,"mobile_pay"
566875,"2026-06-18 12:57:28",6,3150,14,231.17,3236.38,"credit_card"
