transaction_id,timestamp,store_id,product_id,quantity,unit_price,total_amount,payment_method
710904,2026-07-09 12:59,8,5861,19,95.76,1819.44,credit_card
499118,2026-07-09 12:59,7,7320,14,43.44,608.16,cash
338899,2026-07-09 12:59,17,6682,21,121.2,2545.2,credit_card
937690,2026-07-09 12:59,13,8227,35,170.42,5964.7,debit_card
149373,2026-07-09 12:59,6,8210,12,288.56,3462.72,cash
395095,2026-07-09 12:59,15,6661,41,257.35,10551.35,debit_card
585591,2026-07-09 12:59,1,6386,45,31.8,1431,credit_card
305572,2026-07-09 12:59,2,2785,29,67.06,1944.74,debit_card
940568,2026-07-09 12:59,14,9914,33,68.48,2259.84,cash
607615,2026-07-09 12:59,14,3212,28,94.56,2647.68,debit_card
794254,2026-07-09 12:59,18,7698,8,210.94,1687.52,cash
341444,2026-07-09 12:59,1,1153,29,250.2,7255.8,debit_card
712321,2026-07-09 12:59,8,6724,13,41.06,533.78,debit_card
593946,2026-07-09 12:59,4,5613,28,232.4,6507.2,mobile_pay
343469,2026-07-09 12:59,6,1880,18,253.47,4562.46,cash
