transaction_id,timestamp,store_id,product_id,quantity,unit_price,total_amount,payment_method
731886,2026-07-09 12:59,11,6073,34,206.83,7032.22,credit_card
102115,2026-07-09 12:59,2,8406,25,45.37,1134.25,credit_card
230797,2026-07-09 12:59,14,3934,35,71.96,2518.6,online
262609,2026-07-09 12:59,2,7107,43,38.03,1635.29,online
153768,2026-07-09 12:59,4,5437,29,294.82,8549.78,cash
575362,2026-07-09 12:59,19,4045,49,116.56,5711.44,online
652313,2026-07-09 12:59,20,1822,43,10.97,471.71,credit_card
599618,2026-07-09 12:59,3,2889,20,85.28,1705.6,online
479172,2026-07-09 12:59,6,9289,17,132.6,2254.2,mobile_pay
842858,2026-07-09 12:59,4,4909,28,187.65,5254.2,credit_card
525919,2026-07-09 12:59,2,8349,5,168.55,842.75,online
990979,2026-07-09 12:59,2,2694,8,226.86,1814.88,cash
111487,2026-07-09 12:59,11,3558,6,112.05,672.3,credit_card
622080,2026-07-09 12:59,8,3306,10,211.17,2111.7,debit_card
421398,2026-07-09 12:59,19,6096,4,72.57,290.28,online
