transaction_id,timestamp,store_id,product_id,quantity,unit_price,total_amount,payment_method
635995,7/10/2026 14:04,17,8293,31,149.45,4632.95,cash
976511,7/10/2026 14:04,9,4475,11,57.48,632.28,online
301150,7/10/2026 14:04,10,6653,9,er,1154.34,cash
649285,7/10/2026 14:04,17,6718,14,57.52,805.28,credit_card
604175,7/10/2026 14:04,5,4239,11,253.4,2787.4,cash
438414,7/10/2026 14:04,12,2776,21,31.35,658.35,cash
800445,7/10/2026 14:04,4,8121,3,279.03,837.09,debit_card
890093,7/10/2026 14:04,2,5993,32,160.75,5144,online
628917,7/10/2026 14:04,9,5934,d,121.61,1945.76,debit_card
353308,7/10/2026 14:04,3,5244,5,58.52,292.6,mobile_pay
482748,7/10/2026 14:04,13,1987,24,239.49,5747.76,cash
861818,7/10/2026 14:04,19,4628,25,106.2,2655,cash
824121,7/10/2026 14:04,15,5733,24,63.76,1530.24,online
310122,7/10/2026 14:04,10,8353,34,231.01,7854.34,cash
648188,7/10/2026 14:04,15,9510,43,226.87,9755.41,mobile_pay
