"transaction_id","timestamp","store_id","product_id","quantity","unit_price","total_amount","payment_method"
275329,"2026-07-10 14:04:34",5,9709,3,269.39,808.17,"mobile_pay"
684323,"2026-07-10 14:04:34",19,3564,38,280.04,10641.52,"credit_card"
427161,"2026-07-10 14:04:34",1,8675,48,113.58,5451.84,"credit_card"
853633,"2026-07-10 14:04:34",6,3598,8,72.17,577.36,"online"
394655,"2026-07-10 14:04:34",12,3260,17,53.87,915.79,"debit_card"
918849,"2026-07-10 14:04:34",12,7628,39,10.02,390.78,"cash"
325922,"2026-07-10 14:04:34",15,4057,50,204.79,10239.5,"cash"
315600,"2026-07-10 14:04:34",20,4468,28,220.94,6186.32,"online"
481306,"2026-07-10 14:04:34",1,3973,20,23.81,476.2,"debit_card"
691718,"2026-07-10 14:04:34",16,3189,36,259.08,9326.88,"mobile_pay"
560752,"2026-07-10 14:04:34",5,1197,44,295.32,12994.08,"credit_card"
385497,"2026-07-10 14:04:34",12,2662,50,151.55,7577.5,"credit_card"
820730,"2026-07-10 14:04:34",14,7914,49,211.99,10387.51,"credit_card"
388564,"2026-07-10 14:04:34",12,6959,44,47.06,2070.64,"credit_card"
615208,"2026-07-10 14:04:34",15,7393,49,202.56,9925.44,"mobile_pay"
