"transaction_id","timestamp","store_id","product_id","quantity","unit_price","total_amount","payment_method"
809948,"2026-07-10 14:03:46",11,7886,34,291.11,9897.74,"online"
143815,"2026-07-10 14:03:46",14,5049,39,218.39,8517.21,"credit_card"
457550,"2026-07-10 14:03:46",10,3241,34,109.55,3724.7,"mobile_pay"
950564,"2026-07-10 14:03:46",13,7575,5,92.01,460.05,"debit_card"
591228,"2026-07-10 14:03:46",12,8306,2,9.14,18.28,"online"
332134,"2026-07-10 14:03:46",4,3626,24,59.09,1418.16,"debit_card"
752584,"2026-07-10 14:03:46",2,7770,47,18.61,874.67,"cash"
905125,"2026-07-10 14:03:46",10,5381,35,254.04,8891.4,"cash"
878140,"2026-07-10 14:03:46",4,9230,8,165.89,1327.12,"credit_card"
903339,"2026-07-10 14:03:46",6,9417,14,202.42,2833.88,"debit_card"
324238,"2026-07-10 14:03:46",20,3099,5,180.3,901.5,"credit_card"
919591,"2026-07-10 14:03:46",14,9919,16,83.71,1339.36,"online"
873848,"2026-07-10 14:03:46",17,6330,14,13.16,184.24,"credit_card"
848360,"2026-07-10 14:03:46",9,2500,12,54.77,657.24,"mobile_pay"
591697,"2026-07-10 14:03:46",9,7996,3,159.36,478.08,"credit_card"
