"transaction_id","timestamp","store_id","product_id","quantity","unit_price","total_amount","payment_method"
423866,"2026-06-18 12:57:29",14,4739,22,223.94,4926.68,"online"
367040,"2026-06-18 12:57:29",2,2367,16,14.48,231.68,"credit_card"
275596,"2026-06-18 12:57:29",16,7092,2,156.07,312.14,"mobile_pay"
751160,"2026-06-18 12:57:29",13,9897,17,139.55,2372.35,"mobile_pay"
629371,"2026-06-18 12:57:29",19,6036,17,193.53,3290.01,"cash"
547711,"2026-06-18 12:57:29",5,9613,50,76.48,3824.0,"online"
214108,"2026-06-18 12:57:29",12,5104,4,78.82,315.28,"credit_card"
985462,"2026-06-18 12:57:29",2,7165,19,95.94,1822.86,"credit_card"
547274,"2026-06-18 12:57:29",15,5089,31,205.99,6385.69,"mobile_pay"
118216,"2026-06-18 12:57:29",7,1050,44,18.1,796.4,"online"
676396,"2026-06-18 12:57:29",19,7409,29,210.38,6101.02,"credit_card"
538966,"2026-06-18 12:57:29",7,1468,5,87.3,436.5,"credit_card"
711612,"2026-06-18 12:57:29",5,7582,13,257.32,3345.16,"cash"
409865,"2026-06-18 12:57:29",8,9598,36,80.97,2914.92,"cash"
924805,"2026-06-18 12:57:29",6,6771,20,290.55,5811.0,"cash"
