transaction_id,timestamp,store_id,product_id,total_amount,payment_method
515577,7/9/2026 12:59,3,8869,4983.55,debit_card
498145,7/9/2026 12:59,6,4294,241.57,cash
126633,7/9/2026 12:59,7,7751,563.86,mobile_pay
560719,7/9/2026 12:59,9,9834,3334.45,cash
416988,7/9/2026 12:59,4,5388,1599.78,credit_card
430770,7/9/2026 12:59,15,4861,2589.51,cash
835823,7/9/2026 12:59,10,8025,3164.75,debit_card
562988,7/9/2026 12:59,11,1409,10426.5,debit_card
303816,7/9/2026 12:59,20,6087,2853.2,cash
554647,7/9/2026 12:59,15,5081,11691.24,online
158574,7/9/2026 12:59,6,9731,1586.8,cash
648274,7/9/2026 12:59,13,9209,3217,credit_card
763456,7/9/2026 12:59,7,8414,2642.31,cash
977052,7/9/2026 12:59,10,5121,4420.98,debit_card
219817,7/9/2026 12:59,20,2068,1887.84,online
