"transaction_id","timestamp","store_id","product_id","quantity","unit_price","total_amount","payment_method"
799754,"2026-07-10 14:05:17",12,2726,5,299.66,1498.3,"credit_card"
135848,"2026-07-10 14:05:17",4,9336,4,250.49,1001.96,"cash"
450743,"2026-07-10 14:05:17",19,7592,24,225.27,5406.48,"online"
359090,"2026-07-10 14:05:17",6,5072,8,85.37,682.96,"cash"
558197,"2026-07-10 14:05:17",16,7099,26,190.76,4959.76,"online"
508941,"2026-07-10 14:05:17",2,7335,43,252.8,10870.4,"cash"
194078,"2026-07-10 14:05:17",10,4780,41,153.06,6275.46,"cash"
985043,"2026-07-10 14:05:17",18,4973,35,197.09,6898.15,"online"
547887,"2026-07-10 14:05:17",14,9444,4,8.25,33.0,"cash"
415185,"2026-07-10 14:05:17",16,9938,11,255.83,2814.13,"mobile_pay"
700610,"2026-07-10 14:05:17",3,5463,3,292.97,878.91,"mobile_pay"
924306,"2026-07-10 14:05:17",2,6783,31,291.36,9032.16,"debit_card"
491875,"2026-07-10 14:05:17",19,1415,49,38.05,1864.45,"online"
207884,"2026-07-10 14:05:17",14,7083,25,278.71,6967.75,"mobile_pay"
373093,"2026-07-10 14:05:17",13,7429,27,240.39,6490.53,"debit_card"
