"transaction_id","timestamp","store_id","product_id","quantity","unit_price","total_amount","payment_method"
488549,"2026-07-10 14:01:21",13,1121,36,228.34,8220.24,"credit_card"
332319,"2026-07-10 14:01:21",17,3770,50,194.03,9701.5,"debit_card"
447852,"2026-07-10 14:01:21",20,1302,8,153.8,1230.4,"cash"
622675,"2026-07-10 14:01:21",15,5004,21,178.84,3755.64,"cash"
459011,"2026-07-10 14:01:21",3,6560,38,163.45,6211.1,"cash"
753838,"2026-07-10 14:01:21",10,8564,8,205.72,1645.76,"mobile_pay"
652205,"2026-07-10 14:01:21",8,4542,8,166.38,1331.04,"online"
742159,"2026-07-10 14:01:21",10,5038,43,46.52,2000.36,"mobile_pay"
199673,"2026-07-10 14:01:21",2,6226,18,160.51,2889.18,"mobile_pay"
483124,"2026-07-10 14:01:21",10,7370,39,127.84,4985.76,"mobile_pay"
447448,"2026-07-10 14:01:21",17,9003,23,231.37,5321.51,"credit_card"
261395,"2026-07-10 14:01:21",5,2725,9,174.52,1570.68,"online"
133096,"2026-07-10 14:01:21",18,6490,39,111.3,4340.7,"mobile_pay"
940675,"2026-07-10 14:01:21",11,5264,12,41.12,493.44,"cash"
122920,"2026-07-10 14:01:21",14,7812,10,42.37,423.7,"online"
