transaction_id,timestamp,store_id,product_id,quantity,unit_price,total_amount,payment_method
602846,2026-06-18 12:57,10,7270,48,135.47,6502.56,online
288428,2026-06-18 12:57,5,3262,19,293.97,5585.43,cash
124457,2026-06-18 12:57,1,7241,7,161.65,1131.55,debit_card
505501,2026-06-18 12:57,11,2405,29,72.85,2112.65,online
751897,2026-06-18 12:57,2,6597,44,53.37,2348.28,mobile_pay
471821,2026-06-18 12:57,7,3119,47,274.92,12921.24,online
430559,2026-06-18 12:57,10,5683,47,39.6,1861.2,online
846579,2026-06-18 12:57,17,1615,8,77.44,619.52,debit_card
390901,2026-06-18 12:57,9,1457,35,80.05,2801.75,mobile_pay
239749,2026-06-18 12:57,14,4185,48,8.57,411.36,credit_card
565782,2026-06-18 12:57,10,2411,41,276.93,11354.13,debit_card
533280,2026-06-18 12:57,19,2751,5,97.16,485.8,debit_card
700663,2026-06-18 12:57,11,2296,17,279.62,4753.54,credit_card
157912,2026-06-18 12:57,18,8581,2,225.82,451.64,cash
884265,2026-06-18 12:57,11,9418,26,91.35,2375.1,mobile_pay
